id,pid,level,order_num,hidden,enabled,create_date,title,content_text,link
1748,1229,3,80,0,1,0000-00-00 00:00:00,ВАЛКИ ДЛЯ ВАЛЬЦЕВ ЦЕНЫ,,http://www.polgroup.ru/rolls.html
1749,1267,3,80,0,1,0000-00-00 00:00:00,ВАЛКИ ДЛЯ КАЛАНДРОВ И ВАЛЬЦЕВ,ВАЛКИ ДЛЯ КАЛАНДРОВ И ВАЛЬЦЕВ http://www.polgroup.ru/rolls.html,http://www.polgroup.ru/rolls.html
1287,1283,3,30,0,1,0000-00-00 00:00:00,ДВУХШНЕКОВЫЙ ДВУХВАЛКОВЫЙ,СМЕСИТЕЛЬ ДВУХШНЕКОВЫЙ С ДВУХВАЛКОВОЙ ГОЛОВКОЙ. Китай Пройдите по ссылке http://www.polgroup.ru/twin_screw.html,http://www.polgroup.ru/twin_screw.html
1341,1336,3,30,0,1,0000-00-00 00:00:00,"5,5 литра ИНТЕРМИКС","РЕЗИНОСМЕСИТЕЛЬ 5,5 литра ИНТЕРМИКС Пройдите по ссылке http://polgroup.ru/55litra.html",http://polgroup.ru/55litra.html
1333,1212,2,355,0,1,0000-00-00 00:00:00,ОПЛЕТОЧНЫЕ ПЛЕТЕЛЬНЫЕ МАШИНЫ,ОПЛЁТОЧНЫЕ и ПЛЕТЕЛЬНЫЕ МАШИНЫ ПОСТАВЛЯЕМЫЕ ИЗ КИТАЯ И ГЕРМАНИИ Пройдите по ссылке http://www.polgroup.ru/oplet_cn.html,http://www.polgroup.ru/oplet_cn.html
1338,1336,3,10,0,1,0000-00-00 00:00:00,"1,2 и 2,0  литра","РЕЗИНОСМЕСИТЕЛЬ 1,2 и 2,0 литра Пройдите по ссылке http://www.polgroup.ru/1_2litra.html",http://www.polgroup.ru/1_2litra.html
1339,1336,3,20,0,1,0000-00-00 00:00:00,"4,5 литра","РЕЗИНОСМЕСИТЕЛЬ 4,5 литра Пройдите по ссылке http://www.polgroup.ru/45litra.html",http://www.polgroup.ru/45litra.html
1340,1060,2,60,0,1,0000-00-00 00:00:00,СМЕСИТЕЛИ ЛАБОРАТОРНЫЕ,РЕЗИНОСМЕСИТЕЛИ ЛАБОРАТОРНЫЕ Пройдите по ссылке http://polgroup.ru/crk3_5.html,http://polgroup.ru/crk3_5.html
1343,1336,3,40,0,1,0000-00-00 00:00:00,20 ЛИТРОВ,РЕЗИНОСМЕСИТЕЛИ 20 ЛИТРОВ Пройдите по ссылке http://polgroup.ru/20litrov.html,http://polgroup.ru/20litrov.html
1344,1336,3,50,0,1,0000-00-00 00:00:00,40 ЛИТРОВ,РЕЗИНОСМЕСИТЕЛЬ 40 ЛИТРОВ Пройдите по ссылке http://polgroup.ru/40litrov.html,http://polgroup.ru/40litrov.html
1352,1340,3,35,0,1,0000-00-00 00:00:00,С ВЫГРУЖНЫМ ШНЕКОМ,СМЕСИТЕЛИ С Z-ОБРАЗНЫМИ РОТОРАМИ ТИПА ВЕРНЕР С ВЫГРУЖНЫМ ШНЕКОМ Пройдите по ссылке http://www.polgroup.ru/mix_screw.html,http://www.polgroup.ru/mix_screw.html
1347,1066,3,63,0,1,0000-00-00 00:00:00,РС КЛАСИКА С ТАНГЕНЦ.РОТОРАМИ. КИТАЙ,РЕЗИНОСМЕСИТЕЛИ КИТАЙ С РОТОРАМИ ТАНГЕНЦИАЛЬНОГО ТИПА Пройдите по ссылке http://www.polgroup.ru/tangenzsmes.html,http://www.polgroup.ru/tangenzsmes.html
1348,1336,3,60,0,1,0000-00-00 00:00:00,КИТАЙСКИЕ РЕЗ.СМ.,РЕЗИНОСМЕСИТЕЛИ КИТАЙ С ТАНГЕНЦ.РОТОРАМИ Пройдите по ссылке http://polgroup.ru/tangenzsmes.html,http://polgroup.ru/tangenzsmes.html
1349,1066,3,65,0,1,0000-00-00 00:00:00,РС ИНТЕРМИКС КЛАСИКА. КИТАЙ,РЕЗИНОСМЕСИТЕЛИ КИТАЙ ИНТЕРМИКС (С ЗАЦЕПЛЯЮЩИМИСЯ РОТОРАМИ) Пройдите по ссылке http://www.polgroup.ru/intermesing.html,http://www.polgroup.ru/intermesing.html
1350,1336,3,70,0,1,0000-00-00 00:00:00,КИТАЙ ИНТЕРМИКС,РЕЗИНОСМЕСИТЕЛИ КИТАЙ ИНТЕРМИКС Пройдите по ссылке http://polgroup.ru/intermesing.html,http://polgroup.ru/intermesing.html
1353,1340,3,55,0,1,0000-00-00 00:00:00,СМЕСИТЕЛИ КИТАЙ,Пройдите по ссылке http://www.polgroup.ru/1111_cn.html,http://www.polgroup.ru/1111_cn.html
1358,1215,2,20,0,1,0000-00-00 00:00:00,Открыть в WORD,,cena_cn.doc
1360,1214,2,0,0,1,0000-00-00 00:00:00,В формате Internet 230 kb,,price_cn.html
1746,1254,3,24,0,1,0000-00-00 00:00:00,ДЛЯ ВСПЕНЕННЫХ МАТЕРИАЛОВ,"Оборудование для вспененных материалов: вспененного полистирола, стиропола, вспененного полиэтилена PSP / ЭПЕ, вспененного пенопласта XPS , названный как polystyrene extrusion plastic board , PE XPS, вспененного листа ПВХ Пройдите по ссылке: http://www.polgroup.ru/ekstr_vspen.html",http://www.polgroup.ru/ekstr_vspen.html
1745,1264,3,100,0,1,0000-00-00 00:00:00,Таблеточные машины Индия,Таблеточные машины Индия Пройдите по ссылке http://www.polgroup.ru/tablet_ind.html,http://www.polgroup.ru/tablet_ind.html
1744,1264,3,20,0,1,0000-00-00 00:00:00,Таблеточные машины Россия,Таблеточные машины Россия http://polgroup.ru/mt3a.html,http://polgroup.ru/mt3a.html
1743,1264,3,1,0,1,0000-00-00 00:00:00,Таблеточные машины Китай,ТАБЛЕТОЧНЫЕ МАШИНЫ. Китай Пройдите по ссылке http://www.polgroup.ru/tablet_cn.html,http://www.polgroup.ru/tablet_cn.html
1809,1090,3,92,0,1,0000-00-00 00:00:00,АВТОМАТИЗАЦИЯ КАЛ. ЛИНИЙ,"АВТОМАТИЗАЦИЯ КАЛАНДРОВЫХ ЛИНИЙ: качалки, синхронихаторы, устройства равнения полотна http://polgroup.ru/auto_kal_line.html",http://polgroup.ru/auto_kal_line.html
1741,1496,3,200,0,1,0000-00-00 00:00:00,С ТАНГЕНЦИАЛЬНЫМИ РОТОРАМИ Б/У,СМЕСИТЕЛЬ С ТАНГЕНЦИАЛЬНЫМИ РОТОРАМИ (РЕЗИНОСМЕСИТЕЛИ) Б/У Пройдите по ссылке http://www.polgroup.ru/nelrez.html,http://www.polgroup.ru/nelrez.html
1740,1496,3,10,0,1,0000-00-00 00:00:00,С Z-ОБРАЗНЫМИ РОТОРАМИ Б/У,"Смеситель с Z-образными роторами, ленточными роторами, с лопастными роторами, с зацепляющимися роторами Пройдите по ссылке http://www.polgroup.ru/nelsmes.html",http://www.polgroup.ru/nelsmes.html
1739,1496,3,50,0,1,0000-00-00 00:00:00,ДЛЯ ПВХ ВЫСОКОСКОРОСТНЫЕ Б/У,Смесители высокоскоростные двухстадийные для ПВХ Б/У Пройдите по ссылке http://www.polgroup.ru/nelsmes2.html,http://www.polgroup.ru/nelsmes2.html
1357,1215,2,50,0,1,0000-00-00 00:00:00,Скачать в архиве RAR 14 kb,,cena_cn.rar
1351,1340,3,25,0,1,0000-00-00 00:00:00,С Z-ОБРАЗНЫМИ РОТОРАМИ типа ВЕРНЕР,"СМЕСИТЕЛИ ТИПА ВЕРНЕР от 3,5 до 200 литров С Z-ОБРАЗНЫМИ РОТОРАМИ Пройдите по ссылке http://www.polgroup.ru/crk3_5.html",http://www.polgroup.ru/crk3_5.html
1115,1060,2,110,0,1,0000-00-00 00:00:00,МНОГОКРАТНОЕ РАСТЯЖЕНИЕ И СЖАТИЕ МРС-2,МАШИНА ДЛЯ ИСПЫТАНИЯ РЕЗИНЫ НА МНОГОКРАТНОЕ РАСТЯЖЕНИЕ И СЖАТИЕ МРС-2 Пройдите по ссылке http://www.polgroup.ru/mrs_2.html,http://www.polgroup.ru/mrs_2.html
1116,1060,2,300,0,1,0000-00-00 00:00:00,МАШИНА ИСПЫТАНИЯ НА ИСТИРАНИЕ МИ-2,МАШИНА ДЛЯ ИСПЫТАНИЯ НА ИСТИРАНИЕ МИ-2 Пройдите по ссылке http://www.polgroup.ru/mi_2.html,http://www.polgroup.ru/mi_2.html
1117,1060,2,240,0,1,0000-00-00 00:00:00,МАШИНА  ДЛЯ  ВЫРЕЗКИ  ОБРАЗЦОВ  И  ПЛАСТИН,Пройдите по ссылке http://www.polgroup.ru/mash_v_obr.html,http://www.polgroup.ru/mash_v_obr.html
1342,1336,3,35,0,1,0000-00-00 00:00:00,18 ЛИТРОВ,РЕЗИНОСМЕСИТЕЛЬ 18 ЛИТРОВ Пройдите по ссылке http://polgroup.ru/18litrov.html,http://polgroup.ru/18litrov.html
1301,1213,2,10,0,1,0000-00-00 00:00:00,РАЗРЫВНЫЕ СЖИМАЮЩИЕ МАШИНЫ,Пройдите по ссылке http://www.polgroup.ru/rmi_cn.html,http://www.polgroup.ru/rmi_cn.html
1305,1213,2,230,0,1,0000-00-00 00:00:00,АНАЛИЗАТОР ДИСПЕРСИИ УГЛЕРОДА,Пройдите по ссылке http://www.polgroup.ru/carbon.html,http://www.polgroup.ru/carbon.html
1304,1213,2,22,0,1,0000-00-00 00:00:00,КОПЕР МАЯТНИКОВЫЙ - ПРИБОР ДЛЯ ОПРЕДЕЛЕНИЯ УДАРНОЙ ВЯЗКОСТИ,КОПЕР МАЯТНИКОВЫЙ - ПРИБОР ДЛЯ ОПРЕДЕЛЕНИЯ УДАРНОЙ ВЯЗКОСТИ Пройдите по ссылке http://www.polgroup.ru/coper.html,http://www.polgroup.ru/coper.html
1100,1060,2,120,0,1,0000-00-00 00:00:00,"ОПРЕДЕЛЕНИЕ ""КОЛЬЦЕВОГО МОДУЛЯ"" РЕЗИНЫ","ПРИБОР ДЛЯ ОПРЕДЕЛЕНИЯ ""КОЛЬЦЕВОГО МОДУЛЯ"" РЕЗИНЫ Пройдите по ссылке http://www.polgroup.ru/kolc_modyl2.html",http://www.polgroup.ru/kolc_modyl2.html
1101,1060,2,230,0,1,0000-00-00 00:00:00,МАШИНА ДЛЯ ВЫРЕЗКИ ПЛАСТИН,МАШИНА ДЛЯ ВЫРЕЗКИ ПЛАСТИН ИЗ ГОТОВЫХ ИЗДЕЛИЙ Пройдите по ссылке http://polgroup.ru/BH5903.html,http://polgroup.ru/BH5903.html
1102,1060,2,430,0,1,0000-00-00 00:00:00,ВИСКОЗИМЕТР  СВЕТЛОВА  ВМ-10,Пройдите по ссылке http://www.polgroup.ru/viskozimetr.html,http://www.polgroup.ru/viskozimetr.html
1103,1060,2,420,0,1,0000-00-00 00:00:00,КРУЖКА СТАНДАРТНАЯ ВМС,КРУЖКА СТАНДАРТНАЯ ВМС (опред. условной вязкости) Вискозиметр Пройдите по ссылке http://www.polgroup.ru/vms.html,http://www.polgroup.ru/vms.html
1104,1060,2,200,0,1,0000-00-00 00:00:00,ТВЕРДОМЕР  ДЛЯ  РЕЗИНЫ по ISO,Пройдите по ссылке http://www.polgroup.ru/tv_mer_ISO.html,http://www.polgroup.ru/tv_mer_ISO.html
1229,1212,2,10,0,1,0000-00-00 00:00:00,ВАЛЬЦЫ,ВАЛЬЦЫ ДЛЯ РЕЗИНЫ И ПЛАСТИКА. Китай Пройдите по ссылке http://www.polgroup.ru/valc_cn.html ВАЛЬЦЫ ДРОБИЛЬНЫЕ. Китай Пройдите по ссылке http://www.polgroup.ru/drob_valc.html РАФИНЕРОВОЧНЫЕ ВАЛЬЦЫ ДЛЯ РЕЗИНЫ. Китай Пройдите по ссылке http://www.polgroup.ru/refiner.html,http://www.polgroup.ru/mill_cn.html
1814,1066,3,50,0,1,0000-00-00 00:00:00,РЕЗИНОСМЕСИТЕЛЬ 40 л. Россия.,Резиносмеситель периодического действия с нижней выгрузкой на 40 литров Нашего производства http://polgroup.ru/40litrov.html,http://polgroup.ru/40litrov.html
1271,1212,2,4,0,1,0000-00-00 00:00:00,ЭКСТРУДЕРЫ.СТРЕЙНЕРЫ.ГРАНУЛЯТОРЫ,"Экструдер , стрейнер, грануляторы, пелетизаторы, трубные линии, фильтровальная головка Китай Пройдите по ссылке http://polgroup.ru/eks_all.html",http://polgroup.ru/eks_all.html
1233,1212,2,50,0,1,0000-00-00 00:00:00,ОХЛАДИТЕЛЬНЫЕ БАРАБАНЫ,Пройдите по ссылке http://www.polgroup.ru/oxl_bar.html,http://www.polgroup.ru/oxl_bar.html
1283,1212,2,70,0,1,0000-00-00 00:00:00,"СМЕСИТЕЛИ, МЕШАЛКИ","СМЕСИТЕЛИ с Z-образными лопастями, МЕШАЛКИ из нержавейки, с вакуумированием. Китай Пройдите по ссылке http://polgroup.ru/rez.html",http://polgroup.ru/rez.html
1284,1283,3,24,0,1,0000-00-00 00:00:00,КНИДЕР ДЛЯ РЕЗИНЫ И ПЛАСТМАСС с тангенц.рот.,"СМЕСИТЕЛИ ОБЛЕГЧЁННЫЕ ДЛЯ РЕЗИНЫ И ПЛАСТМАСС. КНИДЕР, Kneader. Китай Пройдите по ссылке http://www.polgroup.ru/dispergsmes.html",http://www.polgroup.ru/dispergsmes.html
1309,1213,2,70,0,1,0000-00-00 00:00:00,КАМЕРЫ ДЛЯ ИСПЫТАНИЙ,"Климатические камеры, сушильные шкафы, криокамеры, Температурные камеры, морозильная камера, камера тепла и холода, Криокамеры, Климатическая камера, Климатическая камера тепла и влажности, Сушильные шкафы, Печь на тепловое старение, Озоновая камера, водяная баня, масляная баня, камера соляного тумана, камера цветного старения, экспресс анализатор разрушения под воздействием атмосферного воздействия, камера светового старения Пройдите по ссылке http://www.polgroup.ru/kamera.html",http://www.polgroup.ru/kamera.html
1308,1213,2,225,0,1,0000-00-00 00:00:00,МАШИНА ДЛЯ ВЫФРЕЗЕРОВЫВАНИЯ ЛОПАТОК,"Машина для выфрезеровывания образцов по копиру, в виде лопатки по ГОСТ 11262-80. Китай http://www.polgroup.ru/giria.html",http://www.polgroup.ru/giria.html
1307,1213,2,50,0,1,0000-00-00 00:00:00,ИСПЫТАНИЕ ПЛАСТИКОВЫХ ТРУБ,"УСТАНОВКА ДЛЯ ИЗМЕРЕНИЯ и ИСПЫТАНИЯ ГИДРАВЛИЧЕСКОГО ДАВЛЕНИЯ НА ПЛАСТМАССОВУЮ ТРУБУ, СЖАТИЕ ТРУБ и ДР. Пройдите по ссылке http://www.polgroup.ru/gidravl.html",http://www.polgroup.ru/gidravl.html
